ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
661,"Repolho,branco,cru",17.12,0.00,0.88,0.14,3.86,1.89,3.643
662,"Repolho,roxo,cru",30.91,0.00,1.91,0.06,7.20,1.97,2.338
663,"Repolho,roxo,refogado",41.77,0.00,1.80,1.24,7.56,1.75,3.417
664,RequeijãoBialini,0.00,12.33,0.00,23.00,0.00,0.00,0.000
665,"Romã,crua",55.74,0.00,0.40,0.00,15.11,0.44,0.591
666,Rosq.BananaeCanela,0.00,5.67,0.00,11.67,73.33,2.00,0.000
667,RosquinhaAveiaeMel,0.00,0.00,8.67,16.00,66.67,3.33,0.000
668,"Rúcula,crua",13.13,0.00,1.77,0.11,2.22,1.74,9.418
669,"Sal,dietético",0.00,0.00,0.00,0.00,0.00,0.00,23431.522
670,"Sal,grosso",0.00,0.00,0.00,0.00,0.00,0.00,39943.203
671,SaladaRicadoRonaldo,190,0.0,2.4,16.4,6.1,2.2,2.496282828
672,"Salada,delegumes,commaionese",96.10,0.00,1.05,7.04,8.92,2.22,228.426
673,"Salada,delegumes,cozidanovapor",35.41,0.00,2.01,0.31,7.09,2.51,2.510
674,Salame,397.84,25.81,0.00,30.64,2.91,0.00,1574.169
675,"Salmão,filé,compele,fresco,grelhado",228.73,23.92,0.00,14.04,0.00,0.00,85.135
676,"Salmão,sempele,fresco,cru",169.78,19.25,0.00,9.71,0.00,0.00,64.242
677,"Salmão,sempele,fresco,grelhado",242.71,26.14,0.00,14.53,0.00,0.00,95.811
678,"Salpicão,defrango",147.86,13.93,0.00,7.84,4.57,0.41,248.346
679,"Salsa,crua",33.42,0.00,3.26,0.61,5.71,1.85,2.300
680,Salsicha,0.00,13.60,0.00,60.00,16.67,0.00,0.000
681,Sarapatel,122.98,18.47,0.00,4.42,1.09,0.00,215.623
682,"Sardinha,assada",164.35,32.18,0.00,2.99,0.00,0.00,74.468
683,"Sardinha,conservaemóleo",284.98,15.94,0.00,24.05,0.00,0.00,665.840
684,"Sardinha,frita",257.04,33.38,0.00,12.69,0.00,0.00,60.099
685,"Sardinha,inteira,crua",113.90,21.08,0.00,2.65,0.00,0.00,60.387
686,"Seletadelegumes,enlatada",56.53,0.00,3.42,0.35,12.67,3.09,398.137
687,Sequilho,0.00,0.00,0.00,9.33,73.33,0.00,0.000
688,"Serralha,crua",30.40,0.00,2.67,0.74,4.95,3.52,19.347
689,Shoyu,60.93,0.00,3.31,0.33,11.65,0.00,5024.208
690,SmirnoffIce(1garrafinha),0.00,0.00,0.00,9.86,25.00,0.00,0.000
691,"Soja,extratosolúvel,natural,fluido",39.10,0.00,2.38,1.61,4.28,0.37,56.528
692,"Soja,extratosolúvel,pó",458.90,0.00,35.69,26.18,28.48,7.31,83.471
693,"Soja,farinha",403.96,0.00,36.03,14.63,38.44,20.18,5.754
694,"Soja,queijo(tofu)",64.49,0.00,6.55,3.95,2.13,0.75,1.214
695,Sopão,0.00,1.00,0.00,1.00,10.00,0.00,0.000
696,SorveteFlocos,0.00,2.67,0.00,9.17,26.67,0.00,0.000
697,SorveteLaFrutaKibom,0.00,0.00,0.00,0.00,28.33,0.00,0.000
698,StrogonoffdeCarne,0.00,6.36,0.00,3.33,13.33,0.00,0.000
699,Tabule,57.45,0.00,2.05,1.21,10.58,2.08,1.192
700,Tacacá,46.89,0.00,6.96,0.36,3.39,0.21,1349.063
701,"Taioba,crua",34.21,0.00,2.90,0.93,5.43,4.45,1.161
702,"Tamarindo,cru",275.70,0.00,3.21,0.46,72.53,6.45,0.355
703,Tangerina,0.00,0.00,0.81,0.31,13.34,1.80,0.000
704,"Tangerina,Poncã,crua",37.83,0.00,0.85,0.07,9.61,0.94,0.000
705,"Tangerina,Poncã,suco",36.11,0.00,0.52,0.00,8.80,0.00,0.000
706,"Tapioca,commanteiga",347.83,0.00,0.09,10.91,63.59,0.00,157.524
707,Temperoabasedesal,21.33,0.00,2.67,0.26,2.07,0.56,32560.000
708,Toddy,0.00,0.00,0.00,0.00,90.00,0.00,0.000
709,TomateCru,0.00,0.00,0.88,0.20,3.92,1.20,0.000
710,"Tomate,comsemente,cru",15.34,0.00,1.10,0.17,3.14,1.17,1.020
711,"Tomate,extrato",60.93,0.00,2.43,0.19,14.96,2.80,497.933
712,"Tomate,molhoindustrializado",38.45,0.00,1.38,0.90,7.71,3.12,418.281
713,"Tomate,purê",27.94,0.00,1.36,0.00,6.89,1.03,103.930
714,"Tomate,salada",20.55,0.00,0.81,0.00,5.12,2.27,5.243
715,"Torrada,pãofrancês",377.42,0.00,10.52,3.30,74.56,3.40,829.492
716,"Toucinho,cru",592.53,11.48,0.00,60.26,0.00,0.00,49.587
717,"Toucinho,frito",696.56,27.28,0.00,64.31,0.00,0.00,124.850
718,"Tremoço,cru",381.28,0.00,33.58,10.34,43.79,32.31,3.291
719,"Tremoço,emconserva",120.64,0.00,11.11,3.78,12.39,14.44,1808.758
720,"Tucumã,cru",262.02,0.00,2.09,19.08,26.47,12.65,3.893
721,"Tucunaré,filé,congelado,cru",87.69,17.96,0.00,1.22,-0.05,0.00,56.554
722,"Tucupi,compimenta-de-cheiro",27.18,0.00,2.06,0.28,4.74,0.23,5.131
723,"Umbu,cru",37.02,0.00,0.84,0.00,9.40,1.98,0.000
724,"Umbu,polpa,congelada",33.94,0.00,0.51,0.07,8.79,1.34,5.771
725,Uva,0.00,0.00,0.72,0.16,18.10,0.90,0.000
726,UvaPassas,0.00,0.00,3.07,0.46,79.18,3.70,0.000
727,"Uva,Itália,crua",52.87,0.00,0.75,0.20,13.57,0.92,0.000
728,"Uva,Rubi,crua",49.06,0.00,0.61,0.16,12.70,0.93,7.919
729,"Uva,sucoconcentrado,envasado",57.66,0.00,0.00,0.00,14.71,0.23,9.583
730,Vacaatolada,144.90,5.12,0.00,9.32,10.06,2.34,25.634
731,VagemCozida,0.00,0.00,3.27,0.23,7.05,2.80,0.000
732,"Vagem,crua",24.90,0.00,1.79,0.17,5.35,2.38,0.000
733,Vatapá,254.89,0.00,6.00,23.23,9.75,1.70,879.851
734,Vinagrete,0.00,0.90,0.00,6.00,6.33,1.20,0.000
735,Viradoàpaulista,306.95,0.00,10.18,25.59,14.11,2.16,345.526
736,"Vodka(1dose,42g)",0.00,0.00,0.00,10.96,0.00,0.00,0.000
737,Wheyprotein,386,65.0,0.0,4.0,22.5,0.0,147.5
738,Yakisoba,112.80,0.00,7.52,2.61,18.25,1.06,793.762
739,PanquecadeBanana,138.60,5.07,0.71,3.30,17.55,3.91,0.00
740,Canelaempó,199.8,0.0,3.3,10.0,69.9,46.6,0
741,cacauempó,270,0.0,0.0,0.0,0.0,0.0,0
742,Wheyproteingroth,383,75.9,0.0,0.0,0.0,0.0,174.9
743,Tapioca,240,0.0,3.2,0.0,54.0,0.0,0
744,Crepioca,182.41,9.14,1.50,3.97,26.03,0.00,75.27
745,Creatina,0,0,0,0,0,0,0
746,Margarina,765.00,0.00,0.00,85.00,0.00,0.00,690.00
747,Oléodesoja,1080.00,0.00,0.00,120.00,0.00,0.00,0.00
748,Glutamina,400,100.0,0.0,0.0,0.0,0.0,0
