ID,Descriçãodosalimentos,Energia,Prot.(A),Prot.(V),Gordura,Carbo,Fibra,Sódio
414,"Laranja,lima,suco",39.34,0.00,0.71,0.12,9.17,0.42,0.000
415,"Laranja,pêra,crua",36.77,0.00,1.04,0.13,8.95,0.77,0.000
416,"Laranja,pêra,suco",32.71,0.00,0.74,0.07,7.55,0.00,0.000
417,"Laranja,valência,crua",46.11,0.00,0.77,0.16,11.72,1.73,0.629
418,"Laranja,valência,suco",36.20,0.00,0.48,0.12,8.55,0.42,0.000
419,LasanhadeFrango,0.00,10.14,0.00,5.55,17.20,1.30,0.000
420,"Lasanha,massafresca,cozida",163.76,0.00,5.81,1.16,32.52,1.64,206.769
421,"Lasanha,massafresca,crua",220.31,0.00,7.01,1.34,45.06,1.61,666.710
422,LeitedeCocoMenina(100ml),0.00,0.00,0.00,7.33,0.00,0.00,0.000
423,LeiteDesnatadoGodam(100ml),0.00,3.00,0.00,0.00,5.00,0.00,0.000
424,LeiteDesnatadoQuatá(100ml),0.00,3.25,0.00,0.00,4.60,0.00,0.000
425,LeiteemPó,0.00,34.00,0.00,0.00,50.00,0.00,0.000
426,"Leite,condensado",312.57,7.67,0.00,6.74,57.00,0.00,93.803
427,"Leite,decabra",66.42,3.07,0.00,3.75,5.25,0.00,73.947
428,"Leite,decoco",166.16,1.01,0.00,18.36,2.19,0.68,44.295
429,"Leite,devaca,achocolatado",82.82,2.10,0.00,2.17,14.16,0.65,71.742
430,"Leite,devaca,desnatado,pó",361.61,34.69,0.00,0.93,53.04,0.00,431.673
431,"Leite,devaca,desnatado,UHT",35.00,3.00,0.00,3.00,5.00,0.00,51.140
432,"Leite,devaca,integral",61.00,4.00,0.00,3.00,5.00,0.00,63.760
433,"Leite,devaca,integral,pó",496.65,25.42,0.00,26.90,39.18,0.00,323.203
434,"Leite,fermentado",69.62,1.89,0.00,0.10,15.67,0.00,33.431
435,"Lentilha,cozida",92.64,0.00,6.31,0.52,16.30,7.86,1.176
436,"Lentilha,crua",339.14,0.00,23.15,0.77,62.00,16.94,0.000
437,Limão,0.00,0.00,0.38,0.00,8.63,0.40,0.000
438,"Limão,cravo,suco",14.10,0.00,0.33,0.00,5.25,0.00,0.000
439,"Limão,galego,suco",22.23,0.00,0.57,0.07,7.32,0.00,0.000
440,"Limão,tahiti,cru",31.82,0.00,0.94,0.14,11.08,1.18,1.248
441,LinguiçaSeara,0.00,19.70,0.00,31.20,1.04,0.00,0.000
442,LinguiçaToscana,0.00,16.60,0.00,12.00,2.80,0.00,0.000
443,"Lingüiça,frango,crua",218.11,14.24,0.00,17.44,0.00,0.00,1125.811
444,"Lingüiça,frango,frita",245.46,18.32,0.00,18.54,0.00,0.00,1373.894
445,"Lingüiça,frango,grelhada",243.66,18.19,0.00,18.40,0.00,0.00,1351.494
446,"Lingüiça,porco,crua",227.20,16.06,0.00,17.58,0.00,0.00,1175.722
447,"Lingüiça,porco,frita",279.54,20.45,0.00,21.31,0.00,0.00,1431.594
448,"Lingüiça,porco,grelhada",296.49,23.17,0.00,21.90,0.00,0.00,1455.860
449,"Linhaça,semente",495.10,14.08,0.00,32.25,43.31,33.50,8.673
450,Lula,0.00,17.00,0.00,3.00,2.00,0.00,0.000
451,Maçã,0.00,0.00,0.26,0.17,13.81,2.40,0.000
452,"Maçã,Argentina,comcasca,crua",62.53,0.00,0.23,0.25,16.59,2.03,1.318
453,"Maçã,Fuji,comcasca,crua",55.52,0.00,0.29,0.00,15.15,1.35,0.000
454,Macarrão,0.00,2.75,2.00,1.47,24.84,1.10,0.000
455,"Macarrão,instantâneo",435.86,0.00,8.79,17.24,62.43,5.61,1515.527
456,"Macarrão,molhobolognesa",119.53,0.00,4.93,0.89,22.52,0.78,8.939
457,"Macarrão,trigo,cru",371.12,0.00,10.00,1.30,77.94,2.93,7.170
458,"Macarrão,trigo,cru,comovos",370.57,0.00,10.32,1.97,76.62,2.30,14.740
459,"Macaúba,crua",404.28,0.00,2.08,40.66,13.95,13.44,0.654
460,Maionese,0.00,0.00,0.00,15.83,0.00,0.00,0.000
461,"Maionese,tradicionalcomovos",302.15,0.00,0.58,30.50,7.90,0.00,786.827
462,"Mamãoverde,doceemcalda,drenado",209.38,0.00,0.32,0.10,57.64,1.23,4.740
463,"Mamão,doceemcalda,drenado",195.63,0.00,0.19,0.07,54.00,1.31,2.914
464,"Mamão,Formosa,cru",45.34,0.00,0.82,0.12,11.55,1.81,3.257
465,"Mamão,Papaia,cru",40.16,0.00,0.46,0.12,10.44,1.04,1.630
466,"Mandioca,cozida",125.36,0.00,0.58,0.30,30.09,1.56,0.907
467,"Mandioca,crua",151.42,0.00,1.13,0.30,36.17,1.88,2.150
468,"Mandioca,farofa,temperada",405.69,0.00,2.06,9.12,80.30,7.82,574.508
469,"Mandioca,frita",300.06,0.00,1.38,11.20,50.25,1.87,8.936
470,Manga,0.00,0.00,0.82,0.38,14.98,1.60,0.000
471,"Manga,Haden,crua",63.50,0.00,0.41,0.26,16.66,1.58,0.551
472,"Manga,Palmer,crua",72.49,0.00,0.41,0.17,19.35,1.63,1.864
473,"Manga,polpa,congelada",48.31,0.00,0.38,0.23,12.52,1.07,6.733
474,"Manga,TommyAtkins,crua",50.69,0.00,0.86,0.22,12.77,2.07,0.000
475,Maniçoba,134.22,0.00,9.96,8.70,3.42,2.16,406.704
476,"Manjericão,cru",21.15,0.00,1.99,0.39,3.64,3.31,3.887
477,"Manjuba,comfarinhadetrigo,frita",343.55,23.45,0.00,22.59,10.24,0.36,36.520
478,"Manjuba,frita",349.33,30.14,0.00,24.46,0.00,0.00,40.610
479,"Manteiga,comsal",725.97,0.41,0.00,82.36,0.06,0.00,578.695
480,"Manteiga,semsal",757.54,0.40,0.00,86.04,0.00,0.00,3.849
481,"Maracujá,cru",68.44,0.00,1.99,2.10,12.26,1.14,1.580
482,"Maracujá,polpa,congelada",38.76,0.00,0.81,0.18,9.60,0.51,8.096
483,"Maracujá,sucoconcentrado,envasado",41.97,0.00,0.77,0.19,9.64,0.35,21.692
484,MargarinaQualy,0.00,0.00,0.00,80.00,0.00,0.00,0.000
485,"Margarina,comóleohidrogenado,comsal(65%delipídeos)",596.12,0.00,0.00,67.43,0.00,0.00,894.039
486,"Margarina,comóleohidrogenado,semsal(80%delipídeos)",722.53,0.00,0.00,81.73,0.00,0.00,77.891
487,"Margarina,comóleointeresterificado,comsal(65%delipídeos)",594.45,0.00,0.00,67.25,0.00,0.00,560.798
488,"Margarina,comóleointeresterificado,semsal(65%delipídeos)",593.14,0.00,0.00,67.10,0.00,0.00,33.194
489,Mariamole,301.24,0.00,3.81,0.19,73.55,0.67,15.309
490,"Mariamole,cocoqueimado",306.63,0.00,3.93,0.09,75.06,0.64,14.287
491,Marisco,0.00,25.55,0.00,1.95,5.13,0.00,0.000
492,Marmelada,257.24,0.00,0.40,0.14,70.76,4.07,10.884
493,"Maxixe,cru",13.75,0.00,1.39,0.07,2.73,2.19,10.993
494,Mel,0.00,0.00,0.00,0.00,82.14,0.00,0.000
495,"Mel,deabelha",309.24,0.00,0.00,0.00,84.03,0.00,6.040
496,Melado,296.51,0.00,0.00,0.00,76.62,0.00,4.010
497,"Melancia,crua",32.61,0.00,0.88,0.00,8.14,0.12,0.000
498,Melão,0.00,0.00,0.54,0.14,9.09,0.80,0.000
499,"Melão,cru",29.37,0.00,0.68,0.00,7.53,0.25,11.167
500,"Merluza,filé,assado",121.91,26.60,0.00,0.92,0.00,0.00,119.949
501,"Merluza,filé,cru",89.13,16.61,0.00,2.02,0.00,0.00,79.503
502,"Merluza,filé,frito",191.63,26.93,0.00,8.50,0.00,0.00,89.961
503,"Mexerica,Murcote,crua",57.59,0.00,0.88,0.13,14.86,3.07,1.167
504,"Mexerica,Rio,crua",36.87,0.00,0.65,0.13,9.34,2.73,1.824
505,MilhoCozido,0.00,0.00,2.23,0.54,19.23,1.00,0.000
506,"Milho,amido,cru",361.37,0.00,0.60,0.00,87.15,0.74,8.083
507,"Milho,fubá,cru",353.48,0.00,7.21,1.90,78.87,4.71,0.000
508,"Milho,verde,cru",138.17,0.00,6.59,0.61,28.56,3.92,1.116
509,"Milho,verde,enlatado,drenado",97.56,0.00,3.23,2.35,17.14,4.64,260.350
510,"Mingautradicional,pó",373.42,0.00,0.58,0.37,89.34,0.88,14.855
511,Miojo(Unid.80g),0.00,7.80,0.00,14.00,51.00,1.60,0.000
512,Molho“Barbikiu”,0.00,0.00,0.00,0.00,30.00,0.00,0.000
513,MolhodeTomate,0.00,0.00,0.00,0.00,5.00,1.50,0.000
514,Morango,0.00,0.00,0.67,0.30,7.68,2.00,0.000
515,"Morango,cru",30.15,0.00,0.89,0.31,6.82,1.72,0.000
516,Mortadela,268.82,11.95,0.00,21.65,5.82,0.00,1212.167
517,Mortadela,0.00,14.00,0.00,20.00,5.00,0.00,0.000
